origin,destination,route_changed,dijkstra_and_astar_agree,baseline_distance_meters,optimized_distance_meters,distance_change_meters,baseline_delivery_cost,optimized_delivery_cost,delivery_cost_improvement,baseline_real_data_coverage_percent,optimized_real_data_coverage_percent,baseline_two_plus_components_percent,optimized_two_plus_components_percent,optimized_traffic_coverage_percent,optimized_parking_coverage_percent,optimized_truck_coverage_percent,dijkstra_runtime_seconds,astar_runtime_seconds
Battery Park,Financial District,False,True,641.87,641.87,0.0,852.06,852.06,0.0,85.92,85.92,31.93,31.93,0.0,60.31,57.55,0.00016387499636039138,0.0004530000005615875
Battery Park,South Street Seaport,True,True,1707.18,1709.02,1.84,2212.58,2201.3,11.28,86.13,86.14,58.66,50.55,25.3,66.64,70.05,0.0006430000066757202,0.001218917008372955
Battery Park,Civic Center,False,True,1761.68,1761.68,0.0,2240.71,2240.71,0.0,100.0,100.0,62.85,62.85,0.0,90.67,72.19,0.0006152080022729933,0.0011165000032633543
Battery Park,Chinatown,False,True,2586.97,2586.97,0.0,3457.95,3457.95,0.0,77.42,77.42,61.87,61.87,19.36,64.53,74.76,0.0011451669997768477,0.0026649170031305403
Battery Park,Lower East Side,True,True,3326.8,3578.7,251.9,4544.23,4441.17,103.05,73.05,84.65,40.87,60.64,39.41,71.83,73.46,0.0015779999957885593,0.003968707998865284
Battery Park,East Village South,True,True,3977.84,4322.13,344.29,5520.78,5412.86,107.92,61.09,90.21,34.18,51.56,32.63,56.37,85.39,0.0017106669984059408,0.005039792013121769
Financial District,South Street Seaport,True,True,1697.76,1734.61,36.85,2219.22,2173.32,45.9,71.95,92.53,57.91,73.63,24.93,92.53,73.63,0.0005776250036433339,0.0010022079950431362
Financial District,Civic Center,False,True,1720.05,1720.05,0.0,2170.65,2170.65,0.0,94.38,94.38,76.49,76.49,0.0,94.38,76.49,0.0005625409976346418,0.0007570829911855981
Financial District,Chinatown,True,True,2577.56,2612.57,35.01,3464.6,3429.98,34.62,68.05,81.74,61.39,77.08,19.17,81.74,77.08,0.0011382500088075176,0.0027574580017244443
Financial District,Lower East Side,True,True,3317.39,3604.3,286.91,4550.87,4413.2,137.67,65.76,87.74,40.44,71.68,39.13,84.26,75.16,0.0014881669922033325,0.0038737080030841753
Financial District,East Village South,True,True,3968.43,4201.23,232.8,5527.42,5365.32,162.11,54.97,93.26,33.81,71.03,0.0,71.03,93.26,0.0017124579899245873,0.005058583992649801
South Street Seaport,Civic Center,True,True,1657.64,1657.7,0.06,2210.84,2207.74,3.09,94.87,100.0,31.49,31.39,5.23,100.0,31.39,0.0009535839926684275,0.0015030000067781657
South Street Seaport,Chinatown,False,True,1163.79,1163.79,0.0,1560.8,1560.8,0.0,70.15,70.15,60.6,60.6,35.59,70.15,60.6,0.00046712500625289977,0.00046345799637492746
South Street Seaport,Lower East Side,True,True,1903.63,2113.26,209.63,2647.07,2614.57,32.5,65.34,79.58,24.39,61.77,41.24,73.65,67.7,0.0013961249933345243,0.0015819580003153533
South Street Seaport,East Village South,True,True,2554.66,2694.81,140.15,3623.62,3582.34,41.28,48.69,80.19,18.18,51.89,15.37,56.02,76.06,0.0016503750084666535,0.0028327500040177256
Civic Center,Chinatown,False,True,1011.78,1011.78,0.0,1335.0,1335.0,0.0,98.54,98.54,28.77,28.77,0.0,36.74,90.57,0.0005108329933136702,0.00042754200694616884
Civic Center,Lower East Side,True,True,1751.62,1821.57,69.95,2421.27,2355.75,65.52,81.32,100.0,2.87,47.29,0.0,51.72,95.57,0.0014017920038895682,0.0015159159956965595
Civic Center,East Village South,True,True,2402.65,2474.47,71.81,3397.83,3287.34,110.48,59.28,92.46,2.09,27.34,0.0,30.6,89.2,0.0016103750094771385,0.0029927499999757856
Chinatown,Lower East Side,False,True,878.12,878.12,0.0,1089.96,1089.96,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.00041362500633113086,0.0003261669917264953
Chinatown,East Village South,True,True,1525.89,1531.02,5.13,2063.48,2021.54,41.93,57.51,87.82,57.51,45.27,0.0,45.27,87.82,0.0011388749990146607,0.0012216250033816323
Lower East Side,East Village South,False,True,651.04,651.04,0.0,976.55,976.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003549590037437156,0.0003071669925702736
