origin,destination,route_changed,dijkstra_and_astar_agree,baseline_distance_meters,delivery_route_distance_meters,distance_change_meters,baseline_delivery_cost,optimized_delivery_cost,delivery_cost_improvement,baseline_observed_corridors,optimized_observed_corridors,dijkstra_runtime_seconds,astar_runtime_seconds
Battery Park,Financial District,False,True,641.87,641.87,0.0,747.77,747.77,0.0,,,0.00016016699373722076,0.0004423749924171716
Battery Park,South Street Seaport,True,True,1707.18,1709.02,1.84,1961.04,1945.17,15.87,SOUTH STREET,SOUTH STREET,0.0006430000066757202,0.0011464999988675117
Battery Park,Civic Center,False,True,1761.68,1761.68,0.0,2052.36,2052.36,0.0,,,0.0006130839901743457,0.0011114169901702553
Battery Park,Chinatown,False,True,2586.97,2586.97,0.0,3066.9,3066.9,0.0,PEARL STREET,PEARL STREET,0.001075124993803911,0.0022947090037632734
Battery Park,Lower East Side,False,True,3326.8,3326.8,0.0,3928.81,3928.81,0.0,PEARL STREET,PEARL STREET,0.0014379999920492992,0.0034759170084726065
Battery Park,East Village South,False,True,3977.84,3977.84,0.0,4687.27,4687.27,0.0,PEARL STREET,PEARL STREET,0.0018355830106884241,0.004640500003006309
Financial District,South Street Seaport,True,True,1697.76,1699.6,1.84,1950.07,1934.2,15.87,SOUTH STREET,SOUTH STREET,0.0005350409919628873,0.000852083001518622
Financial District,Civic Center,False,True,1720.05,1720.05,0.0,2003.86,2003.86,0.0,,,0.0005581250006798655,0.0006951249961275607
Financial District,Chinatown,False,True,2577.56,2577.56,0.0,3055.93,3055.93,0.0,PEARL STREET,PEARL STREET,0.0010777499992400408,0.0021185410005273297
Financial District,Lower East Side,False,True,3317.39,3317.39,0.0,3917.84,3917.84,0.0,PEARL STREET,PEARL STREET,0.001418292013113387,0.0033143750042654574
Financial District,East Village South,False,True,3968.43,3968.43,0.0,4676.3,4676.3,0.0,PEARL STREET,PEARL STREET,0.001870041000074707,0.0045403749973047525
South Street Seaport,Civic Center,False,True,1657.64,1657.64,0.0,1940.34,1940.34,0.0,PEARL STREET,PEARL STREET,0.0009233339951606467,0.001392459002090618
South Street Seaport,Chinatown,False,True,1163.79,1163.79,0.0,1399.72,1399.72,0.0,PEARL STREET,PEARL STREET,0.0004675000091083348,0.0004153749905526638
South Street Seaport,Lower East Side,False,True,1903.63,1903.63,0.0,2261.62,2261.62,0.0,PEARL STREET,PEARL STREET,0.001301041993428953,0.0011540839914232492
South Street Seaport,East Village South,False,True,2554.66,2554.66,0.0,3020.08,3020.08,0.0,PEARL STREET,PEARL STREET,0.0016602499963482842,0.0021383749990491197
Civic Center,Chinatown,False,True,1011.78,1011.78,0.0,1178.73,1178.73,0.0,,,0.0005394159961724654,0.00035937500069849193
Civic Center,Lower East Side,False,True,1751.62,1751.62,0.0,2040.64,2040.64,0.0,,,0.0013392919936450198,0.0011345410021021962
Civic Center,East Village South,False,True,2402.65,2402.65,0.0,2799.09,2799.09,0.0,,,0.0016905829979805276,0.002226958007668145
Chinatown,Lower East Side,False,True,878.12,878.12,0.0,1023.01,1023.01,0.0,,,0.0004024579975521192,0.0002536249958211556
Chinatown,East Village South,False,True,1525.89,1525.89,0.0,1777.66,1777.66,0.0,,,0.0009923330071615055,0.0008792500011622906
Lower East Side,East Village South,False,True,651.04,651.04,0.0,758.46,758.46,0.0,,,0.00030241700005717576,0.00014779099728912115
