street_names,mapped_segments,mapped_length_meters,components_observed,average_delivery_score,has_traffic_data,has_parking_data,has_truck_data
SOUTH STREET,51,5145.54,3,0.059,Yes,Yes,Yes
"SOUTH STREET, PETER MINUIT PLAZA",1,128.32,3,0.059,Yes,Yes,Yes
"WHITEHALL STREET, SOUTH STREET",1,154.86,3,0.142,Yes,Yes,Yes
PEARL STREET,42,2829.33,3,0.271,Yes,Yes,Yes
"PEARL STREET, HIGH STREET",1,161.97,3,0.271,Yes,Yes,Yes
CHATHAM SQUARE,4,215.89,2,0.2,No,Yes,Yes
DIVISION STREET,8,461.66,2,0.2,No,Yes,Yes
HUDSON STREET,15,872.76,2,0.2,No,Yes,Yes
"LUDLOW STREET, DIVISION STREET",1,99.11,2,0.2,No,Yes,Yes
PIKE STREET,10,833.78,2,0.2,No,Yes,Yes
TRINITY PLACE,5,442.59,2,0.2,No,Yes,Yes
WEST STREET,35,3990.72,2,0.2,No,Yes,Yes
BARCLAY STREET,5,522.01,2,0.215,No,Yes,Yes
LAFAYETTE STREET,12,1122.24,2,0.222,No,Yes,Yes
BROADWAY,33,2466.03,2,0.227,No,Yes,Yes
GRAND STREET,38,2776.65,2,0.23,No,Yes,Yes
"HESTER STREET, FORSYTH STREET",1,218.37,2,0.23,No,Yes,Yes
MAIDEN LANE,11,1004.42,2,0.23,No,Yes,Yes
CANAL STREET,50,3346.33,2,0.234,No,Yes,Yes
"FLATBUSH AVENUE EXTENSION, CANAL STREET, MANHATTAN BRIDGE (LOWER LEVEL)",1,2164.76,2,0.234,No,Yes,Yes
WEST BROADWAY,17,1129.43,2,0.237,No,Yes,Yes
"WEST BROADWAY, BEACH STREET",1,86.4,2,0.237,No,Yes,Yes
CHURCH STREET,20,1395.0,2,0.239,No,Yes,Yes
BROOME STREET,20,1491.8,2,0.242,No,Yes,Yes
"VESEY STREET, WASHINGTON STREET",1,197.34,2,0.242,No,Yes,Yes
BOWERY,27,1994.72,2,0.257,No,Yes,Yes
WALKER STREET,8,733.93,2,0.26,No,Yes,Yes
"MANHATTAN BRIDGE, CANAL STREET",1,1972.74,2,0.264,No,Yes,Yes
WATER STREET,35,3136.33,2,0.286,No,Yes,Yes
VARICK STREET,6,481.86,2,0.38,No,Yes,Yes
"VARICK STREET, VESTRY STREET, LAIGHT STREET",1,305.99,2,0.38,No,Yes,Yes
DELANCEY STREET,26,1750.33,2,0.55,Yes,No,Yes
"WILLIAMSBURG BRIDGE, DELANCEY STREET",1,95.37,2,0.85,Yes,No,Yes
ALLEN STREET,17,1729.93,1,0.35,No,No,Yes
BATTERY PLACE,22,1364.29,1,0.35,No,No,Yes
BEACH STREET,4,205.34,1,0.35,No,No,Yes
CENTRE STREET,14,1339.79,1,0.35,No,No,Yes
"CENTRE STREET, BROOKLYN BRIDGE",2,259.55,1,0.35,No,No,Yes
CHAMBERS STREET,20,1982.24,1,0.35,No,Yes,No
