origin,destination,changed_under_all_fallbacks,fallback_settings_changed,distinct_optimized_routes,minimum_cost_improvement,average_cost_improvement,maximum_extra_distance,minimum_traffic_coverage,maximum_traffic_coverage,minimum_parking_coverage,minimum_truck_coverage,minimum_two_component_coverage
Financial District,Chinatown,True,3,1,31.12,34.62,35.01,19.17,19.17,81.74,77.08,77.08
Civic Center,Lower East Side,True,3,1,58.52,65.52,69.95,0.0,0.0,51.72,95.57,47.29
Chinatown,East Village South,True,3,1,41.42,41.93,5.13,0.0,0.0,45.27,87.82,45.27
South Street Seaport,Civic Center,True,3,1,3.09,3.09,0.06,5.23,5.23,100.0,31.39,31.39
Civic Center,East Village South,True,3,1,103.3,110.48,71.81,0.0,0.0,30.6,89.2,27.34
Financial District,South Street Seaport,True,3,2,38.12,47.74,36.85,15.15,24.93,92.52,73.63,73.63
Financial District,East Village South,True,3,2,162.11,199.32,255.77,0.0,37.44,63.62,57.44,57.44
South Street Seaport,East Village South,True,3,2,41.28,51.43,178.49,15.37,38.14,44.15,42.0,42.0
Financial District,Lower East Side,True,3,3,137.67,176.13,286.91,0.0,44.26,75.21,67.9,67.9
Battery Park,Lower East Side,True,3,3,103.05,129.72,263.16,0.0,44.58,62.61,66.14,56.74
South Street Seaport,Lower East Side,True,3,3,10.14,33.45,209.63,20.28,50.07,57.96,55.14,55.14
Battery Park,East Village South,True,3,3,107.92,146.39,344.29,0.0,37.67,52.9,55.88,47.94
Chinatown,Lower East Side,False,0,1,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
Financial District,Civic Center,False,0,1,0.0,0.0,0.0,0.0,0.0,94.38,76.49,76.49
Battery Park,Civic Center,False,0,1,0.0,0.0,0.0,0.0,0.0,90.67,72.19,62.85
Battery Park,Chinatown,False,0,1,0.0,0.0,0.0,19.36,19.36,64.53,74.76,61.87
South Street Seaport,Chinatown,False,0,1,0.0,0.0,0.0,35.59,35.59,70.15,60.6,60.6
Battery Park,Financial District,False,0,1,0.0,0.0,0.0,0.0,0.0,60.31,57.55,31.93
Civic Center,Chinatown,False,0,1,0.0,0.0,0.0,0.0,0.0,36.74,90.57,28.77
Lower East Side,East Village South,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery Park,South Street Seaport,False,2,2,0.0,13.12,1.84,15.37,25.3,66.6,70.05,50.55
